quaycode,quayname,quaystatus,transportmode,lat,lon,visuallyaccessible,disabledaccessible,compassdirection,validfrom,quayshapetype,baylength,markedkerb,lift,guidelines,groundsurfaceindicator,stopplaceaccessroute,mutationdate,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,tactilegroundsurfaceindicator,ramp,heightwithenvironment,bayentranceangles,ramplength,rampwidth,embaymentwidth,bayexitangles
NL:Q:30001081,Markengouw,available,bus,52.399221622543635,4.953112026123291,false,true,38,2020-05-24T22:00:00Z,langshalte,12,true,false,false,false,true,2021-01-08T13:34:25Z,0.18,3,3,8,1.1,false,false,false,true,0.1,,0.9,,,
NL:Q:30001089,Buikslotermeerdijk,available,bus,52.401429105072594,4.957087150911846,false,false,281,2020-05-24T22:00:00Z,langshalte,12,true,false,false,false,true,2021-02-25T11:33:45Z,0.06,1.5,1.5,10,1.5,false,false,false,false,0,,,1.5,,
NL:Q:30001090,Buikslotermeerdijk,available,bus,52.40133944543735,4.957146796784446,false,false,101,2020-05-24T22:00:00Z,langshalte,12,true,false,false,false,true,2021-02-25T11:33:45Z,0.06,1.5,1.5,12,0.86,false,false,false,false,0,,,1.5,,
NL:Q:30001226,Druivenstraat,available,bus,52.41274282106447,4.898700883291925,false,false,52,2020-05-24T22:00:00Z,langshalte,23,true,false,false,false,true,2021-01-08T13:34:25Z,0.09,5,4.2,24,3.1,false,false,false,false,0,,,,,
NL:Q:30001227,Druivenstraat,available,bus,52.41232692235887,4.8981028682949725,false,false,228,2020-05-24T22:00:00Z,langshalte,18,true,false,false,false,true,2021-01-08T13:34:25Z,0.08,1.8,2,18,1.15,false,false,false,false,0,,,,,
NL:Q:30006071,Prinsengracht,available,tram,52.36508512581019,4.8846172736904645,false,false,65,2020-05-24T22:00:00Z,langshalte,30,false,false,false,false,true,2021-01-08T13:34:25Z,0.12,2.3,2.3,23,1.3,false,false,false,false,0,,,,,
NL:Q:30006072,Prinsengracht,available,tram,52.36498495611207,4.884310088338488,false,false,245,2020-05-24T22:00:00Z,langshalte,30,false,false,false,false,true,2021-01-08T13:34:25Z,0.11,2.4,2.4,22,1.67,false,false,false,false,0,,,1.9,,
NL:Q:57132320,Adam Smithplein,outofuse,bus,52.33704060246213,4.822252996475983,true,true,90,2019-03-01T00:00:00Z,semi-haltehaven,20.64,true,false,true,true,true,2021-02-25T11:33:45Z,0.2,3.3,2.3,17.3,2.2,true,true,true,false,0,0.01,,,,
NL:Q:57132330,Adam Smithplein,outofuse,bus,52.337293375243185,4.820606423446437,true,true,271,2019-03-01T00:00:00Z,semi-haltehaven,11.17,true,false,true,true,true,2021-02-25T11:33:45Z,0.2,3.6,2.7,9.17,1.8,true,true,true,false,0,0.01,,,,
NL:Q:57252510,AZUA,available,bus,52.29136139797856,4.955968485272875,false,false,88,2020-05-24T22:00:00Z,haltehaven,31.5,true,false,false,false,false,2021-01-08T13:34:25Z,0.1,1.6,1.8,31.5,0.85,false,false,false,false,0,3,,1.5,3,25
NL:Q:57252520,AZUA,available,bus,52.29171715148541,4.954938999408625,false,false,289,2020-05-24T22:00:00Z,haltehaven,29,false,false,false,false,false,2021-01-08T13:34:25Z,0.11,1.8,1.8,0.01,1.7,false,false,false,false,0,19,,1.8,5.63,17
NL:Q:30009904,Westerdoksdijk,available,ferry,52.38813624428992,4.892596798505352,false,true,40,2020-05-24T22:00:00Z,haltehaven,10,false,false,false,false,true,2021-02-25T11:33:45Z,0.35,4,4,4,2,false,false,false,true,1.23,10,25,2,3,10
NL:Q:30008007,Bob Haarmslaan,available,tram,52.36864120889094,4.969371824219611,true,true,125,2020-05-24T22:00:00Z,langshalte,70,false,false,true,false,true,2021-01-08T13:34:25Z,0.4,1.9,1.9,70,1,true,true,false,true,0.2,,5,2,,
NL:Q:30008009,Bob Haarmslaan,available,tram,52.369150740195494,4.968588813620003,true,true,315,2020-05-24T22:00:00Z,langshalte,70,false,false,true,false,true,2021-01-08T13:34:25Z,0.4,2.8,8.75,70,1.35,true,true,false,true,0.17,,1.5,1.5,,
NL:Q:30002130,Hugo de Grootplein,available,tram,52.37435377653376,4.872602674801213,false,true,33,2020-05-24T22:00:00Z,langshalte,24,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,1.9,1.9,24,1.3,false,false,false,true,0.08,,6,2.4,,
NL:Q:30002131,Hugo de Grootplein,available,tram,52.375002263470805,4.872918224837655,false,true,213,2020-05-24T22:00:00Z,langshalte,24,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,2.4,2.4,24,1.3,false,false,false,true,0.1,,5,2.4,,
NL:Q:57143160,VUmc/Boechorststraat,plan,bus,52.334481018505656,4.86167954212911,false,false,183,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30007136,VUmc/Boechorststraat,available,bus,52.334472813063165,4.861855701427974,false,false,358,2020-05-24T22:00:00Z,langshalte,10,true,false,false,false,true,2021-01-08T13:34:25Z,0.09,3.3,3.3,10,2.5,false,false,false,false,,,,,,
NL:Q:57252550,Muntbergweg,plan,bus,52.29742060211914,4.949019723664055,false,false,150,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:57252560,Muntbergweg,plan,bus,52.29759217891624,4.949237926007735,false,false,350,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30004004,Henk Sneevlietweg,available,bus,52.34693974358125,4.83442547897618,false,false,84,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30001416,Olof Palmeplein,available,bus,52.39669175970792,4.9398695975467755,false,false,112,2020-05-24T22:00:00Z,langshalte,21,true,false,false,false,true,2021-01-08T13:34:25Z,0.11,2.3,1.6,15.73,1.48,false,false,false,false,0,,,,,
NL:Q:30001066,Olof Palmeplein,available,bus,52.39686301770018,4.9400001007883985,true,false,305,2020-05-24T22:00:00Z,langshalte,8.04,false,false,true,true,true,2021-01-08T13:34:25Z,0.06,6.35,7.37,0.01,1.6,false,false,false,false,0,,,1.5,,
NL:Q:30001414,Olof Palmeplein,available,bus,52.39676510026029,4.940250859612663,false,false,301,2020-05-24T22:00:00Z,langshalte,23,false,false,false,false,false,2021-01-08T13:34:25Z,0.13,2.5,2.5,20.45,1,false,false,false,true,0.08,,0.3,0.8,,
NL:Q:30001415,Olof Palmeplein,available,bus,52.39670202283874,4.94020741862355,false,false,291,2020-05-24T22:00:00Z,semi-haltehaven,34.2,true,false,false,false,true,2021-01-08T13:34:25Z,0.1,2,2,39.2,1.25,false,false,false,false,0.09,5,,,2.5,
